"keyword","source","title","link","snippet","posted","posted_date","epiyear","epiweek"
"急性呼吸器感染症","Google RSS","2025年 第28週(令和7年7月7日から令和7年7月13日) - city.sakai.lg.jp","https://news.google.com/rss/articles/CBMizAFBVV95cUxQVFpIUV9lS2FkVXAzVDVwVTFiX0ZMYmRjQUQ3dDNoUXJPQTRZcU1hLVdDTloxNkFXdHVfRU5BVFdBMU5MT3JuSHA0c05YZk5veGVvTzZfdWdZVy1Oa1FMUk80Rm5KZzlGUDBNeUtIRFZlT3M2WXZ0d0pmYmk2VV9fT0lYYjBFZVlVRTNvekt1QmNFcEotSkI0UGlLNENIUGRPTVZlb2xyRDZPZGdRVDB0ajNfXzQxVkF4TmxBc3ZHQmdCZngtZjBNVXZWVlg?oc=5","2025年 第28週(令和7年7月7日から令和7年7月13日),"Sat, 19 Jul 2025 06:01:09 GMT",2025-07-19,2025,29
"急性呼吸器感染症","Google RSS","〔急性呼吸器感染症定点当たり報告数まとめ〕全国の定点報告数52.71人・37都府県で増加(第27週) - ｄメニューニュース","https://news.google.com/rss/articles/CBMiiAFBVV95cUxNWFQ2d3dyU3dZR21NaVc0bTBrQXh4OHZfSzJYZlZJeDVubng1Y284NEs5dnFUeThxellHWkplbWpkVHZVc1FuWC1iVmluMUg4YjBHNGh6ZnFCYklaTS01Umx0OW1ZYmZhc1VFX3FFVTA3NDdsbmRnYjBIVXNUakVhRW1rcldNaVZz0gGOAUFVX3lxTE90RGZMYjNQNHU3ellYVXZFNDhvRmJkWVZOeUEzcnFqeWxsRFpTcGd1OFo4MldCOFkwZzZDQ19xTzl2WU40aFBkbm5JUkQ4T3F3Q2ZaUXRMVFRwTm0zV1Y5cHM1TGt2SFhnMzN3YW5zbzRva3hOUHg5Vk5GakwwT3F2d0czREVQeTNMWkxBYlE?oc=5","〔急性呼吸器感染症定点当たり報告数まとめ〕全国の定点報告数52.71人・37都府県で増加(第27週),"Wed, 16 Jul 2025 13:35:14 GMT",2025-07-16,2025,29
"インフルエンザ","Google RSS","インフルエンザの流行状況についてお知らせします - pref.fukuoka.lg.jp","https://news.google.com/rss/articles/CBMiakFVX3lxTE1lWnNjcXBTd0xJbTJRLWdScEVtOGZYa2JzV3N1VXhMU2JxbVZUWEd0WlhrWDdVcHhVOHVnNEFfMld2Z284Z0R4dUJNdmRGN3Z1cWdaS3h0aUhNd3JQYWVWQUxYTU5UWWpFUnc?oc=5","インフルエンザの流行状況についてお知らせします,"Thu, 17 Jul 2025 07:00:00 GMT",2025-07-17,2025,29
"インフルエンザ","Google RSS","鳥インフルエンザに関する情報 - city.fukushima.fukushima.jp","https://news.google.com/rss/articles/CBMidEFVX3lxTFA1RGQ0VFZoSVpBMzRhUC1yRm44emRrWURPNkF1Qk41c2tHVmhmbDI3SGYyTHdhXzZtc3pvdkQwOHl1MTB4a29JbTl4bnpFSF9SNXBoTlBCb2tkSW9CZkpPTTMwbURjeUdNaHk5ckpJaXMyY0Rn?oc=5","鳥インフルエンザに関する情報,"Fri, 18 Jul 2025 07:00:00 GMT",2025-07-18,2025,29
"インフルエンザ","Google RSS","新型インフルエンザ等対策について - pref.fukuoka.lg.jp","https://news.google.com/rss/articles/CBMidEFVX3lxTE0xWDVTYlJEQTlBNjVydktpeWF1MlEyTG9zRFJOQmlsR1ZvUzBpVkcyZlBEeGIwaHhic21wM3prYTBkTV9DUXdZeWNQa05uRU54QTR2QXV1WGNCM29WZW1kVXNsbmtyY0Q0WnhqcWxnWFhsLUZs?oc=5","新型インフルエンザ等対策について,"Tue, 15 Jul 2025 07:00:00 GMT",2025-07-15,2025,29
"インフルエンザ","Google RSS","「季節性インフルエンザに対する半生ワクチンの研究開発」 - u-tokyo.ac.jp","https://news.google.com/rss/articles/CBMibEFVX3lxTE4tZjZWRjh1dHJEU2NtLTl1a1ZGX05pMldicVo5a1FOdkhvNkFUT2xIZnlwZUQ4SF9TYmp0c01tX0VVSi1aUlBYNExEVkZ0NkdLYU5HeHYyWHlwQmdLTk5WSy1CLWFXYWIycnFYcA?oc=5","「季節性インフルエンザに対する半生ワクチンの研究開発」,"Fri, 18 Jul 2025 07:00:00 GMT",2025-07-18,2025,29
"新型コロナ","Google RSS","新型コロナ 1医療機関当たり平均患者数2.40人 4月以来2人超え | NHK - nhk.or.jp","https://news.google.com/rss/articles/CBMib0FVX3lxTFBaZ0dvbXhFTF9OOTRQS2Nqdkx0NFlwU1J2ZF9jT2N5T1k5b2wtX2NFYmdmOF9SaGo0TnAzamNLVi1xRkpHTG9lNGlZVmJKbkdWSmdTaTFndm9EdWdKWGxtR3Y4REY1UzlEc3NlSUVudw?oc=5","新型コロナ 1医療機関当たり平均患者数2.40人 4月以来2人超え | NHK,"Fri, 18 Jul 2025 07:00:00 GMT",2025-07-18,2025,29
"新型コロナ","Google RSS","新型コロナ飲み薬 約250万人分期限切れで廃棄 国が購入 | NHK - nhk.or.jp","https://news.google.com/rss/articles/CBMib0FVX3lxTE54R2p5U3VMbUFsTGFLalkwdUw0cFBMbTAyekVKOUc0ZzlXM21FakdUX1ZMMnB1TFJXd250bmlNZS1ya3hVOXdLT2EyNGozelNsbzl6bERXcDNqaDFqYlVwNDQwZG9aMFpYVkpPNW9WRQ?oc=5","新型コロナ飲み薬 約250万人分期限切れで廃棄 国が購入 | NHK,"Wed, 16 Jul 2025 07:00:00 GMT",2025-07-16,2025,29
"新型コロナ","Google RSS","八幡浜の飲食店 新型コロナ助成金 ４７００万円余を不正受給 - nhk.or.jp","https://news.google.com/rss/articles/CBMib0FVX3lxTFBiV0N1TnFmN3JjZDNWcnhyVkU3bFVZRzBWblhXbzBiMlVCTFZtY0xDQzh0LW13Y090VXpOeWFwOWJLWXlEQlRucXRXakVsazB3N3pYODNQT0FtVmdnY3k1bjZMZ2szRlBhYURtVGJBWQ?oc=5","八幡浜の飲食店 新型コロナ助成金 ４７００万円余を不正受給,"Fri, 18 Jul 2025 07:00:00 GMT",2025-07-18,2025,29
"新型コロナ","Google RSS","盛岡の平和タクシー 破産申請へ 新型コロナで業績悪化 - nhk.or.jp","https://news.google.com/rss/articles/CBMibkFVX3lxTE40X3hRNFJpVGZvaGdSVktiR2tHUzJoRmoxUHlJb25sNW5aMl9sUU1NcndrN3cyb1NhbG1LNzJoM3pOYl92bXB3bHRHbHBvNkF0cXRudEVpX3U4SHlVT0xXTnFJYWZGcDg5QTdmd1Nn?oc=5","盛岡の平和タクシー 破産申請へ 新型コロナで業績悪化,"Tue, 15 Jul 2025 07:00:00 GMT",2025-07-15,2025,29
