"keyword","source","title","link","snippet","posted","posted_date","epiyear","epiweek"
"インフルエンザ","Google RSS","鳥インフルエンザウイルスに関する情報について（対応レベル1） - city.kakogawa.lg.jp","https://news.google.com/rss/articles/CBMinwFBVV95cUxNT3hkZlNRYmhvZGpJWjNGOTNmdlVGaDcwVXRxb1hpNVBzU1VDSGE4ZTJlUFVoOGRXYlNRVWVEeEdmNnBjZ3Y0MFVMRmNwd2FhTGFUTGtKYmRaZ2Y2WnBEVm5QWXhCWE5SUjh6T1lNejQ4RFEyMTdlRVlidDNfYk53TnlhdlJoWGpnZDAxWFJOMWpTVXZ6WGZDSnZRRjQ4LW8?oc=5","鳥インフルエンザウイルスに関する情報について（対応レベル1）,"Thu, 24 Jul 2025 07:00:00 GMT",2025-07-24,2025,30
"インフルエンザ","Google RSS","牛で流行の鳥インフル 投薬遅れで耐性ウイルスに変化の可能性 - nhk.or.jp","https://news.google.com/rss/articles/CBMib0FVX3lxTFBoZTY5UHdFNTNHNUk3bHNvcEZjUUptc0ZMNG5Pdi1CRDdHdEVfSHFlOGtPc1F0bnB2RWJIUlVzVnlldnJOOGpxSGdYcXM3enR4ZzkxWFdvXzRfRmx1bEtsVzJWakJndHl6eElQU01GVQ?oc=5","牛で流行の鳥インフル 投薬遅れで耐性ウイルスに変化の可能性,"Mon, 21 Jul 2025 07:00:00 GMT",2025-07-21,2025,30
"インフルエンザ","Google RSS","新型インフルエンザ等対策行動計画 - city.higashihiroshima.lg.jp","https://news.google.com/rss/articles/CBMiiAFBVV95cUxPOW12SVlJeVotcHlSbnhkU1czREdnWExUQTVkM25kejlfaHBUcElheThDMUFtNTU3cFFOQXFoYlBXdkJPQWVSMlREX0lHX00yaG1mbHlYdzlUY2h5QUxRZ0NYaVlvTjhnWmF4MFY1b3h0bXhQVFI1RVRSWFBuMDdmZkNieFMxeDNf?oc=5","新型インフルエンザ等対策行動計画,"Wed, 23 Jul 2025 10:31:40 GMT",2025-07-23,2025,30
"新型コロナ","Google RSS","新型コロナじわじわ増加 専門家「8月ピークか?高齢者と接するときは基本的な対策を」鹿児島（MBC南日本放送） - Yahoo!ニュース","https://news.google.com/rss/articles/CBMif0FVX3lxTE9JOVBfYXNRU2pwR1dORmJqOHZRNnM0U2J1U25XLUoyNDlkWG81ZVA3cmNPejJRQV9OeEtyODRkMlA4NlJaR0wyWmd2aUhhb1F5OFB6NXpDM1hhYkhrSGRBX1RSNFFyMWY3R3Uwd2RKZkpIZVozRkd4U0RZRDBCS28?oc=5","新型コロナじわじわ増加 専門家「8月ピークか?高齢者と接するときは基本的な対策を」鹿児島（MBC南日本放送）,"Fri, 25 Jul 2025 10:13:33 GMT",2025-07-25,2025,30
"新型コロナ","Google RSS","コロナ感染者数、15週ぶりの1万人超え - 定点報告数は17週ぶり3人台 厚労省（医療介護ＣＢニュース） - Yahoo!ニュース","https://news.google.com/rss/articles/CBMif0FVX3lxTE1YMTRjM2tCWGV4MlpPME9DNVN5blk2QVhtZDRLWnhPSlVkZU93UmM3YTdQTzJ1TzBwZFZESkJwUTB4TzlBbWdVQl83UWJGWWJBWFhJcjBEUDVFNURWUmNUSnMyaTU3UFlNYTFlWHdCT1Q0OERzTVMzLS1JOC03dTA?oc=5","コロナ感染者数、15週ぶりの1万人超え - 定点報告数は17週ぶり3人台 厚労省（医療介護ＣＢニュース）,"Fri, 25 Jul 2025 08:08:00 GMT",2025-07-25,2025,30
"新型コロナ","Google RSS","新型コロナワクチン後遺症問題を描く映画『ヒポクラテスの盲点』、ポスタービジュアル解禁（クランクイン！） - Yahoo!ニュース","https://news.google.com/rss/articles/CBMif0FVX3lxTE9RQURSS0dSdDhjVURLQ2tVeWhDdWpsbzZfSE96TWZKeHVMbnNocF9kZnd4Mk03OGdKY1hha3JKRVVGTGJZRmsxVm1oSFl0TTZYb2ljdjlQa0FxRjZvaWNpdXNkNmlweHIybmg2RW4tRUo4a29GNXRmWVQ3cTMxeGs?oc=5","新型コロナワクチン後遺症問題を描く映画『ヒポクラテスの盲点』、ポスタービジュアル解禁（クランクイン！）,"Thu, 24 Jul 2025 08:00:00 GMT",2025-07-24,2025,30
"新型コロナ","Google RSS","新型コロナ患者の体験を語ったSHIONOGIのCMソングを歌っている人がしりたい！（CDJournal） - Yahoo!ニュース","https://news.google.com/rss/articles/CBMif0FVX3lxTE5fQmM3bUIwY293Umc0S09rTzVMTWh3bFNwZjJSZWJQRnQzRFpraDJqc252ZTdoS2xXdFgxRFRmWnRfaGJhUnBOeXdNclpqNXFzR2RtOXJiT3l1dEMwZzhaMDJkd0o1ZlhmMnN5LWdVYmdtRUVqa1JwYWVEbGJzQ28?oc=5","新型コロナ患者の体験を語ったSHIONOGIのCMソングを歌っている人がしりたい！（CDJournal）,"Fri, 25 Jul 2025 04:45:29 GMT",2025-07-25,2025,30
"新型コロナ","Google RSS","新型コロナ、４週連続増加 和歌山県、平均患者数は３・02人（紀伊民報） - Yahoo!ニュース","https://news.google.com/rss/articles/CBMif0FVX3lxTE1NSkpETE5LWXJMc1ZGSGlBLVFWblBmeHYzaTdDOFhySWxISUtabmJsRkVTczZDOE1NWlYxYnlvSEhqWkl2UU85M2xjYUpJLWVsVTF5azE0dHVBQlJCMEtCT05OS25BVkpYY2hUUDM1NnBqRV9LVTkzOTA2MWxBckE?oc=5","新型コロナ、４週連続増加 和歌山県、平均患者数は３・02人（紀伊民報）,"Fri, 25 Jul 2025 02:39:46 GMT",2025-07-25,2025,30
"新型コロナ","Google RSS","新型コロナ治療薬パキロビッドにリトナビルが配合されている理由 - 日経メディカル","https://news.google.com/rss/articles/CBMikAFBVV95cUxOcFlWdXZTaHhaczkzN2ZPYjAtNURZSXdZUTdrT05ILXVtT25yYjV2czNHSmFvalhRSGE2TEVsZ0tKUWdMNGZ6NzRlbG55UnZmemVQcHd5dFJiei05aThxYmRNdGU4R1lJZnJWU0VfYXJJYVd5SEVZSHlENFBKTXBtQ2NKWXVSUXRqcC00bWlEdVg?oc=5","新型コロナ治療薬パキロビッドにリトナビルが配合されている理由,"Mon, 21 Jul 2025 22:45:01 GMT",2025-07-21,2025,30
"新型コロナ","Google RSS","中国で毎日147の村が消滅している衝撃 - 現代ビジネス","https://news.google.com/rss/articles/CBMiT0FVX3lxTFBsTWV3bXI1VU1VdUF2Z1pxem04aEMzWTFtcGxQbmQxczg1bU1wYTAtNE1Nc2ljNFpxYU9yYWt6MW1LaVZ6OTdvbUg4dVNSUWs?oc=5","中国で毎日147の村が消滅している衝撃,"Sat, 26 Jul 2025 21:04:00 GMT",2025-07-26,2025,30
